fold,U,W,batch,method_outcome,batch_index2,batch_index,iteration,realTimeInSeconds,elapsedTimeInSeconds
fold10,29.462540716612377,102.32502391160398,batch.ind2,allDMF_postrelapse_num,3,2,12,8.473,0.4249187
fold1,15.363057324840765,77.20961561098106,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold2,25.534201954397393,102.44333117069876,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold3,28.23411371237458,137.88804571020444,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold4,29.753289473684205,102.79717388954933,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold5,23.41747572815534,91.79458144773828,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold6,19.389067524115756,92.6375406881161,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold7,36.05980066445183,129.04082899574996,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold8,17.620129870129873,101.12445665217739,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold9,23.802631578947366,112.58867394358586,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold10,15.461538461538462,91.2982151318907,batch.ind3,allDMF_postrelapse_num,3,3,13,8.473,0.4249187
fold1,26.305369127516776,140.06262144619157,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold2,15.868421052631577,119.96895601426563,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold3,27.76973684210526,119.96895601426563,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold4,31.42671009771987,98.75429572801637,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold5,33.282467532467535,91.22427264727058,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold6,9.63258785942492,85.34697010450631,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold7,25.28709677419355,94.3742730343777,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold8,27.057692307692307,85.72634654872849,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold9,19.835526315789473,107.8259753593429,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold10,17.563106796116504,95.3315125296545,batch.ind4,allDMF_postrelapse_num,3,4,14,8.473,0.4249187
fold1,23.64705882352941,110.29359423440835,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold2,21.819078947368418,101.63501026694044,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold3,29.083601286173636,91.69794727216306,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold4,25.61764705882353,115.99629584893505,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold5,25.534201954397393,99.3834752422931,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold6,23.41747572815534,90.43216841769501,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold7,23.493506493506494,102.73785967625803,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold8,25.87128712871287,103.9537276109541,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold9,11.522292993630574,85.17506114388104,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold10,24.039867109634553,136.3685183542879,batch.ind5,allDMF_postrelapse_num,3,5,15,8.473,0.4249187
fold1,38.06312292358804,123.01852142413719,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold2,15.76470588235294,95.32737448162015,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold3,29.366883116883116,100.92077122056588,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold4,19.835526315789473,115.61898843618286,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold5,21.60586319218241,101.05590967767827,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold6,13.485623003194888,88.73321043619737,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold7,23.34193548387097,102.47977743922634,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold8,23.34193548387097,86.96641716897398,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold9,23.881188118811878,119.45497794132595,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold10,25.534201954397393,103.89528389595274,batch.ind1,allDMF_postrelapse_num,4,1,16,8.475,0.4275043
fold1,15.920792079207919,113.24902921503649,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold2,29.366883116883116,111.1104029440785,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold3,27.40909090909091,102.94690525080668,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold4,23.34193548387097,85.8640259654236,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold5,13.749185667752442,102.1206750095312,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold6,19.57792207792208,88.59780260806954,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold7,23.881188118811878,123.05105007420659,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold8,21.535714285714285,92.62326995386543,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold9,26.88535031847134,89.51267999843054,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold10,32.16,128.75556468172485,batch.ind2,allDMF_postrelapse_num,4,2,17,8.475,0.4275043
fold1,31.841584158415838,125.6009921320674,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold2,31.52941176470588,109.40339010347465,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold3,39.671052631578945,117.036393602075,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold4,25.451298701298704,92.84839595722552,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold5,17.39423076923077,80.11743800347497,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold6,19.389067524115756,80.42813471810481,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold7,15.76470588235294,110.7683697709063,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold8,5.779552715654952,88.52750424782361,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
fold9,23.96026490066225,114.19255612820756,batch.ind3,allDMF_postrelapse_num,4,3,18,8.475,0.4275043
